participant_id,week,program,age_group,community,baseline_habit_strength,convenience,social_norm,environmental_fit,motivation,competing_demands,habit_persistence,feedback_visibility,incentive_active,support_quality,life_event,engagement_score,activity_count,self_report_adoption
1,1,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.715,0.529,0.573,0.638,1,0.573,0,0.887,7,1
1,2,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.725,0.459,0.573,0.638,1,0.573,0,0.883,7,1
1,3,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.665,0.482,0.573,0.638,1,0.573,0,0.877,9,1
1,4,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.697,0.495,0.573,0.638,1,0.573,0,0.873,8,1
1,5,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.687,0.482,0.573,0.638,1,0.573,0,0.872,9,1
1,6,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.654,0.466,0.573,0.638,1,0.573,0,0.879,8,1
1,7,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.67,0.553,0.573,0.638,1,0.573,0,0.886,6,1
1,8,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.661,0.534,0.573,0.638,1,0.573,0,0.878,9,1
1,9,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.641,0.478,0.573,0.638,0,0.573,0,0.853,8,1
1,10,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.69,0.484,0.573,0.638,0,0.573,0,0.823,8,1
1,11,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.634,0.556,0.573,0.638,0,0.555,0,0.791,9,1
1,12,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.662,0.561,0.573,0.638,0,0.537,0,0.763,6,1
1,13,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.609,0.519,0.573,0.626,0,0.519,0,0.756,6,1
1,14,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.628,0.469,0.573,0.614,0,0.501,0,0.74,5,1
1,15,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.593,0.488,0.573,0.602,0,0.483,0,0.744,3,1
1,16,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.652,0.565,0.573,0.59,0,0.465,0,0.724,5,1
1,17,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.528,0.504,0.573,0.578,0,0.447,0,0.692,9,1
1,18,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.619,0.596,0.573,0.566,0,0.429,0,0.656,4,1
1,19,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.576,0.498,0.573,0.554,0,0.411,0,0.654,2,1
1,20,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.543,0.523,0.573,0.542,0,0.393,0,0.636,6,1
1,21,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.602,0.556,0.573,0.53,0,0.375,0,0.655,4,1
1,22,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.553,0.457,0.573,0.518,0,0.357,0,0.619,12,1
1,23,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.524,0.456,0.573,0.506,0,0.339,0,0.589,5,1
1,24,fitness,26-40,rural,0.874,0.735,0.467,0.615,0.558,0.527,0.573,0.494,0,0.321,0,0.552,8,0
2,1,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.493,0.464,0.436,0.536,1,0.47,0,0.561,8,1
2,2,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.509,0.497,0.436,0.536,1,0.47,0,0.675,7,1
2,3,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.486,0.472,0.436,0.536,1,0.47,0,0.749,6,1
2,4,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.495,0.483,0.436,0.536,1,0.47,0,0.792,3,1
2,5,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.45,0.414,0.436,0.536,1,0.47,0,0.802,8,1
2,6,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.508,0.461,0.436,0.536,1,0.47,0,0.824,8,1
2,7,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.463,0.403,0.436,0.536,1,0.47,0,0.842,7,1
2,8,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.449,0.414,0.436,0.536,1,0.47,0,0.858,8,1
2,9,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.429,0.468,0.436,0.536,0,0.47,0,0.848,6,1
2,10,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.47,0.429,0.436,0.536,0,0.47,0,0.847,14,1
2,11,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.445,0.433,0.436,0.536,0,0.452,0,0.815,4,1
2,12,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.418,0.486,0.436,0.536,0,0.434,0,0.804,5,1
2,13,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.344,0.442,0.436,0.524,0,0.416,0,0.769,7,1
2,14,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.427,0.437,0.436,0.512,0,0.398,0,0.766,8,1
2,15,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.441,0.447,0.436,0.5,0,0.38,0,0.757,4,1
2,16,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.334,0.434,0.436,0.488,0,0.362,0,0.758,8,1
2,17,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.4,0.467,0.436,0.476,0,0.344,0,0.744,9,1
2,18,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.359,0.485,0.436,0.464,0,0.326,0,0.725,4,1
2,19,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.376,0.431,0.436,0.452,0,0.308,0,0.707,13,1
2,20,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.331,0.466,0.436,0.44,0,0.29,0,0.712,4,1
2,21,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.374,0.465,0.436,0.428,0,0.272,0,0.68,8,1
2,22,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.32,0.465,0.436,0.416,0,0.254,0,0.671,9,1
2,23,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.35,0.442,0.436,0.404,0,0.236,0,0.641,9,1
2,24,public_transport,18-25,suburban,0.378,0.719,0.321,0.648,0.344,0.474,0.436,0.392,0,0.218,0,0.609,9,1
3,1,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.281,0.195,0.799,0.464,1,0.425,0,0.675,4,1
3,2,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.307,0.197,0.799,0.464,1,0.425,0,0.698,3,1
3,3,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.323,0.218,0.799,0.464,1,0.425,0,0.682,7,1
3,4,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.352,0.232,0.799,0.464,1,0.425,0,0.673,5,1
3,5,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.311,0.247,0.799,0.464,1,0.425,0,0.683,3,1
3,6,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.253,0.227,0.799,0.464,1,0.425,0,0.669,10,1
3,7,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.307,0.237,0.799,0.464,1,0.425,0,0.686,4,1
3,8,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.269,0.186,0.799,0.464,1,0.425,0,0.685,7,1
3,9,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.243,0.222,0.799,0.464,0,0.425,0,0.663,3,1
3,10,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.262,0.191,0.799,0.464,0,0.425,0,0.647,4,1
3,11,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.284,0.256,0.799,0.464,0,0.407,0,0.631,11,1
3,12,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.258,0.209,0.799,0.464,0,0.389,0,0.611,6,1
3,13,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.19,0.168,0.799,0.452,0,0.371,0,0.585,10,1
3,14,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.281,0.214,0.799,0.44,0,0.353,0,0.606,9,0
3,15,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.25,0.225,0.799,0.428,0,0.335,0,0.585,4,0
3,16,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.183,0.222,0.799,0.416,0,0.317,0,0.561,5,1
3,17,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.186,0.246,0.799,0.404,0,0.299,0,0.563,4,0
3,18,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.209,0.252,0.799,0.392,0,0.281,0,0.555,4,1
3,19,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.153,0.379,0.799,0.38,0,0.263,1,0.491,3,0
3,20,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.166,0.418,0.799,0.368,0,0.245,0,0.476,6,0
3,21,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.181,0.372,0.799,0.356,0,0.227,0,0.454,3,0
3,22,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.207,0.42,0.799,0.344,0,0.209,0,0.476,5,0
3,23,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.159,0.416,0.799,0.332,0,0.191,0,0.498,3,0
3,24,digital_wellbeing,26-40,urban,0.674,0.269,0.334,0.861,0.163,0.422,0.799,0.32,0,0.173,0,0.504,2,1
