feature,importance
engagement_slope,0.3945084176941425
engagement_volatility,0.25123399830637727
mid_engagement,0.134004524530293
early_engagement,0.045161317082148024
baseline_habit_strength,0.033668534133951974
competing_demands,0.02638573493173941
convenience,0.02550276027261235
motivation,0.02290267997186412
environmental_fit,0.013767941213044123
habit_persistence,0.011073169802319635
feedback_visibility,0.009214396916501373
support_quality,0.008667396922690213
incentive_strength,0.007524194791760373
social_norm,0.00697427676130765
life_event_week,0.002882995247600567
