participant_id,program,age_group,community,early_engagement,mid_engagement,late_engagement,engagement_slope,engagement_volatility,trajectory_label,reversal_risk_label,early_warning_label,baseline_habit_strength,convenience,social_norm,environmental_fit,motivation,competing_demands,habit_persistence,feedback_visibility,incentive_strength,support_quality,life_event_week
1,fitness,26-40,rural,0.879,0.832,0.617,-0.0151,0.107,faded,1,0,0.874,0.735,0.467,0.615,0.717,0.509,0.573,0.638,0.836,0.573,0
2,public_transport,18-25,suburban,0.734,0.836,0.67,-0.0041,0.078,sustained,0,0,0.378,0.719,0.321,0.648,0.522,0.458,0.436,0.536,0.551,0.47,0
3,digital_wellbeing,26-40,urban,0.68,0.654,0.483,-0.0108,0.079,faded,1,0,0.674,0.269,0.334,0.861,0.347,0.224,0.799,0.464,0.355,0.425,19
4,healthy_eating,60+,urban,0.701,0.706,0.555,-0.0087,0.07,sustained,0,0,0.567,0.591,0.133,0.534,0.318,0.279,0.385,0.447,0.225,0.22,0
5,healthy_eating,26-40,suburban,0.654,0.767,0.533,-0.0068,0.104,inconsistent,0,0,0.283,0.666,0.665,0.303,0.83,0.461,0.444,0.138,0.118,0.674,20
6,digital_wellbeing,26-40,urban,0.699,0.791,0.495,-0.0118,0.126,faded,1,0,0.259,0.842,0.629,0.681,0.146,0.68,0.377,0.786,0.904,0.72,0
7,healthy_eating,26-40,urban,0.723,0.765,0.596,-0.0076,0.068,sustained,0,0,0.568,0.588,0.628,0.327,0.836,0.633,0.218,0.292,0.388,0.305,0
8,recycling,26-40,suburban,0.845,0.829,0.672,-0.0095,0.072,sustained,0,0,0.767,0.561,0.845,0.694,0.583,0.235,0.772,0.472,0.73,0.918,0
9,recycling,18-25,urban,0.804,0.821,0.61,-0.0112,0.092,sustained,0,0,0.581,0.661,0.919,0.59,0.782,0.687,0.947,0.33,0.745,0.894,0
10,fitness,41-60,urban,0.721,0.827,0.747,0.001,0.07,sustained,0,0,0.302,0.668,0.368,0.278,0.925,0.244,0.526,0.461,0.471,0.673,0
11,recycling,41-60,rural,0.603,0.544,0.346,-0.0145,0.104,reverted,1,0,0.516,0.851,0.279,0.45,0.283,0.714,0.822,0.407,0.467,0.448,0
12,recycling,18-25,urban,0.675,0.677,0.368,-0.018,0.137,reverted,1,0,0.48,0.29,0.509,0.145,0.872,0.736,0.585,0.641,0.385,0.606,10
13,recycling,41-60,urban,0.759,0.698,0.557,-0.0118,0.083,sustained,0,0,0.867,0.838,0.919,0.094,0.335,0.191,0.729,0.34,0.375,0.065,0
14,recycling,18-25,suburban,0.755,0.781,0.502,-0.0148,0.118,faded,1,0,0.551,0.816,0.942,0.672,0.649,0.767,0.707,0.49,0.359,0.817,9
15,fitness,41-60,suburban,0.786,0.766,0.638,-0.0082,0.061,sustained,0,0,0.747,0.736,0.622,0.328,0.723,0.611,0.929,0.314,0.54,0.618,0
16,digital_wellbeing,18-25,rural,0.708,0.8,0.597,-0.0068,0.096,sustained,0,0,0.299,0.491,0.474,0.702,0.582,0.753,0.21,0.362,0.77,0.676,14
17,digital_wellbeing,26-40,urban,0.645,0.764,0.666,0.0007,0.076,sustained,0,0,0.215,0.961,0.671,0.447,0.645,0.691,0.474,0.204,0.221,0.673,0
18,digital_wellbeing,26-40,urban,0.8,0.846,0.703,-0.0056,0.062,sustained,0,0,0.555,0.692,0.537,0.741,0.313,0.271,0.402,0.75,0.801,0.395,0
19,healthy_eating,26-40,urban,0.712,0.758,0.481,-0.0136,0.118,faded,1,0,0.501,0.807,0.854,0.398,0.262,0.611,0.328,0.896,0.477,0.621,19
20,digital_wellbeing,26-40,suburban,0.749,0.838,0.574,-0.0105,0.109,sustained,0,0,0.424,0.901,0.475,0.763,0.308,0.338,0.318,0.614,0.788,0.687,0
21,recycling,26-40,urban,0.832,0.849,0.569,-0.0148,0.117,sustained,0,0,0.711,0.341,0.6,0.484,0.874,0.35,0.437,0.289,0.592,0.602,0
22,digital_wellbeing,26-40,urban,0.698,0.679,0.481,-0.0123,0.093,faded,1,0,0.525,0.763,0.76,0.058,0.623,0.765,0.926,0.142,0.546,0.34,0
23,recycling,41-60,urban,0.574,0.639,0.453,-0.0073,0.095,inconsistent,0,0,0.17,0.816,0.109,0.354,0.274,0.806,0.642,0.858,0.787,0.404,0
24,public_transport,41-60,rural,0.795,0.869,0.677,-0.0071,0.083,sustained,0,0,0.5,0.682,0.598,0.844,0.377,0.522,0.408,0.729,0.209,0.893,11
25,fitness,60+,suburban,0.644,0.652,0.57,-0.0039,0.043,sustained,0,0,0.462,0.882,0.315,0.56,0.463,0.708,0.277,0.334,0.134,0.389,0
26,recycling,18-25,suburban,0.553,0.624,0.403,-0.0089,0.096,reverted,1,0,0.238,0.412,0.262,0.331,0.265,0.663,0.365,0.706,0.499,0.255,0
27,recycling,60+,suburban,0.768,0.884,0.68,-0.0053,0.099,sustained,0,0,0.3,0.866,0.696,0.884,0.504,0.301,0.778,0.809,0.748,0.841,0
28,recycling,18-25,urban,0.711,0.794,0.586,-0.0073,0.094,sustained,0,0,0.331,0.22,0.425,0.77,0.429,0.508,0.436,0.717,0.816,0.545,0
29,public_transport,18-25,suburban,0.734,0.862,0.792,0.003,0.081,sustained,0,0,0.247,0.514,0.881,0.917,0.264,0.168,0.843,0.954,0.494,0.59,0
30,recycling,41-60,suburban,0.729,0.644,0.442,-0.0159,0.111,faded,1,1,0.759,0.894,0.27,0.181,0.271,0.437,0.841,0.778,0.266,0.641,0
31,recycling,26-40,urban,0.787,0.82,0.61,-0.0102,0.089,sustained,0,0,0.568,0.809,0.456,0.647,0.561,0.776,0.199,0.713,0.862,0.497,0
32,recycling,26-40,urban,0.818,0.741,0.488,-0.019,0.133,faded,1,1,0.9,0.13,0.572,0.929,0.686,0.468,0.551,0.208,0.8,0.657,0
33,fitness,18-25,suburban,0.639,0.532,0.289,-0.0198,0.138,reverted,1,1,0.708,0.128,0.223,0.485,0.476,0.79,0.502,0.643,0.832,0.27,0
34,fitness,41-60,urban,0.698,0.657,0.342,-0.0209,0.15,reverted,1,0,0.698,0.448,0.776,0.166,0.84,0.846,0.861,0.29,0.704,0.096,0
35,healthy_eating,41-60,rural,0.606,0.702,0.359,-0.0143,0.149,reverted,1,0,0.056,0.228,0.539,0.367,0.849,0.658,0.484,0.83,0.651,0.796,16
36,public_transport,18-25,suburban,0.802,0.855,0.741,-0.0039,0.058,sustained,0,0,0.515,0.38,0.743,0.612,0.662,0.107,0.05,0.687,0.592,0.157,0
37,healthy_eating,26-40,suburban,0.839,0.757,0.449,-0.0218,0.153,faded,1,1,0.893,0.235,0.765,0.635,0.817,0.493,0.926,0.329,0.743,0.513,0
38,public_transport,18-25,urban,0.796,0.749,0.577,-0.0124,0.091,sustained,0,0,0.74,0.942,0.452,0.478,0.204,0.711,0.595,0.855,0.727,0.789,0
39,fitness,26-40,urban,0.814,0.867,0.719,-0.0056,0.067,sustained,0,0,0.529,0.85,0.512,0.77,0.704,0.309,0.67,0.601,0.757,0.474,0
40,healthy_eating,60+,urban,0.743,0.832,0.727,-0.0012,0.069,sustained,0,0,0.314,0.737,0.573,0.619,0.539,0.394,0.74,0.718,0.348,0.714,0
41,healthy_eating,26-40,suburban,0.843,0.887,0.65,-0.0113,0.1,sustained,0,0,0.607,0.674,0.82,0.679,0.519,0.391,0.636,0.843,0.822,0.964,0
42,public_transport,41-60,urban,0.64,0.629,0.375,-0.015,0.111,reverted,1,0,0.52,0.314,0.477,0.629,0.646,0.123,0.848,0.616,0.06,0.248,8
43,recycling,26-40,suburban,0.8,0.819,0.675,-0.0074,0.062,sustained,0,0,0.69,0.561,0.499,0.823,0.799,0.567,0.468,0.627,0.324,0.819,0
44,digital_wellbeing,26-40,suburban,0.834,0.781,0.583,-0.014,0.099,sustained,0,0,0.847,0.594,0.682,0.513,0.482,0.585,0.482,0.72,0.489,0.545,0
